,Eligibility Cost,Eligibility Total Tokens,Eligibility Prompt Tokens,Eligibility Completion Tokens,Ensembling Cost,Ensembling Total Tokens,Ensembling Prompt Tokens,Ensembling Completion Tokens,Binarization Cost,Binarization Total Tokens,Binarization Prompt Tokens,Binarization Completion Tokens,Total Cost,Total Tokens,Total Prompt Tokens,Total Completion Tokens
4,0.596085,101509.0,92655.0,8854.0,0.07235,10782.0,8938.0,1844.0,0.037315,5495.0,4511.0,984.0,0.0,0.0,0.0,0.0
5,0.6158049999999999,106797.0,98615.0,8182.0,0.06776,10028.0,8266.0,1762.0,0.03374,5202.0,4429.0,773.0,0.0,0.0,0.0,0.0
7,0.50832,85028.0,76710.0,8318.0,0.08179,11054.0,8402.0,2652.0,0.041355,6303.0,5319.0,984.0,0.0,0.0,0.0,0.0
11,0.50876,86164.0,78370.0,7794.0,0.06258,9424.0,7878.0,1546.0,0.035824999999999996,5197.0,4213.0,984.0,0.0,0.0,0.0,0.0
13,0.50988,85892.0,77850.0,8042.0,0.06781,9938.0,8126.0,1812.0,0.037155,5463.0,4479.0,984.0,0.0,0.0,0.0,0.0
14,0.539215,92801.0,85280.0,7521.0,0.07439499999999999,10029.0,7604.0,2425.0,0.037055,5865.0,5092.0,773.0,0.0,0.0,0.0,0.0
16,0.52078,87942.0,79835.0,8107.0,0.068015,9995.0,8191.0,1804.0,0.03395,5244.0,4471.0,773.0,0.0,0.0,0.0,0.0
17,0.49608,84502.0,77145.0,7357.0,0.07625000000000001,10044.0,7441.0,2603.0,0.037945,6043.0,5270.0,773.0,0.0,0.0,0.0,0.0
19,0.5249550000000001,88837.0,80760.0,8077.0,0.06473,9756.0,8161.0,1595.0,0.03607,5246.0,4262.0,984.0,0.0,0.0,0.0,0.0
22,0.6410000000000001,112290.0,104335.0,7955.0,0.06937,9984.0,8039.0,1945.0,0.034655,5385.0,4612.0,773.0,0.0,0.0,0.0,0.0
25,0.49877,84198.0,76420.0,7778.0,0.074455,10205.0,7862.0,2343.0,0.03981,5994.0,5010.0,984.0,0.0,0.0,0.0,0.0
29,0.5535399999999999,94166.0,85895.0,8271.0,0.065625,9945.0,8355.0,1590.0,0.036044999999999994,5241.0,4257.0,984.0,0.0,0.0,0.0,0.0
42,0.533585,91329.0,83635.0,7694.0,0.075805,10239.0,7778.0,2461.0,0.0404,6112.0,5128.0,984.0,0.0,0.0,0.0,0.0
43,0.580905,98977.0,90375.0,8602.0,0.08447,11422.0,8686.0,2736.0,0.04177499999999999,6387.0,5403.0,984.0,0.0,0.0,0.0,0.0
44,0.63544,111506.0,103715.0,7791.0,0.078765,10501.0,7875.0,2626.0,0.038060000000000004,6066.0,5293.0,773.0,0.0,0.0,0.0,0.0
6,0.6233350000000001,109909.0,102530.0,7379.0,0.062185,9121.0,7463.0,1658.0,0.036385,5309.0,4325.0,984.0,0.0,0.0,0.0,0.0
15,0.57721,99054.0,90860.0,8194.0,0.072875,10377.0,8278.0,2099.0,0.03859,5750.0,4766.0,984.0,0.0,0.0,0.0,0.0
20,0.65274,112736.0,103830.0,8906.0,0.06692500000000001,10455.0,8990.0,1465.0,0.032255,4905.0,4132.0,773.0,0.0,0.0,0.0,0.0
30,0.6184249999999999,106805.0,98365.0,8440.0,0.06989,10342.0,8524.0,1818.0,0.037184999999999996,5469.0,4485.0,984.0,0.0,0.0,0.0,0.0
32,0.571955,99657.0,92290.0,7367.0,0.076195,10047.0,7451.0,2596.0,0.03791,6036.0,5263.0,773.0,0.0,0.0,0.0,0.0
38,0.60158,102632.0,93790.0,8842.0,0.087365,11775.0,8926.0,2849.0,0.04234,6500.0,5516.0,984.0,0.0,0.0,0.0,0.0
40,0.50546,85624.0,77890.0,7734.0,0.07701,10346.0,7818.0,2528.0,0.040735,6179.0,5195.0,984.0,0.0,0.0,0.0,0.0
51,0.6870100000000001,121294.0,113240.0,8054.0,0.07608999999999999,10498.0,8138.0,2360.0,0.039745,6001.0,5027.0,974.0,0.0,0.0,0.0,0.0
52,0.534845,90583.0,82390.0,8193.0,0.06591,9912.0,8277.0,1635.0,0.03627,5286.0,4302.0,984.0,0.0,0.0,0.0,0.0
